Individual: an2817 ,30,1,4/8/20 10:43,943
Kaystacks ,30,6,4/8/20 10:47,944
Tiputis ,30,2,4/8/20 10:56,947
Senior_Squad ,30,6,4/8/20 11:05,948
Individual: jj2936 ,30,1,4/8/20 11:14,949
CapitalismBad ,30,4,4/8/20 11:18,952
Individual: dvt2102 ,30,1,4/8/20 11:27,957
Mickey ,30,4,4/8/20 11:31,958
the lamp shop ,30,5,4/8/20 11:40,959
Individual: kr2752 ,30,1,4/8/20 11:49,965
Subterra Gang ,30,7,4/8/20 11:53,968
Individual: ba2503 ,30,1,4/8/20 12:02,973
daBestGroup ,30,4,4/8/20 12:06,975
koronets ,30,2,4/8/20 12:15,977
homeies ,28.5714,7,4/8/20 13:24,1032
basketballisfun ,27.5,4,4/8/20 13:33,1054
Riceball Dodgers ,26,5,4/8/20 13:42,1103
A lot of people ,25,2,4/8/20 13:51,1210
buddyolpal ,25,2,4/8/20 14:00,1214
lucasandyareli ,25,2,4/8/20 14:09,1227
AJ and Peter ,25,2,4/8/20 14:18,1230
Pizza passion ,25,2,4/8/20 14:27,1235
jrrl21 ,25,2,4/8/20 14:36,1239
virginia slim girls ,25,2,4/8/20 14:45,1242
bad b****** get ec ,25,2,4/8/20 14:54,1243
Honey Garlic Chicken W ings ,25,2,4/8/20 15:03,1263
Eggylicious ,25,2,4/8/20 15:12,1265
W oody ,25,2,4/8/20 15:21,1267
Avery and Skylar ,25,2,4/8/20 15:30,1270
Boufa ,25,2,4/8/20 15:39,1272
toni+zerui+jordan ,23.3333,3,4/8/20 15:48,1325
shivikalnat ,23.3333,3,4/8/20 15:57,1342
ripjhouse ,22.8571,7,4/8/20 16:06,1455
Vault and Syd ,22.5,4,4/8/20 16:15,1519
weareAAAA ,22.5,4,4/13/20 9:00,1548
Quattro Barzotti ,22,5,4/13/20 9:09,1612
MatAkDavDan ,22,5,4/13/20 9:18,1627
Fu Foundation ,22,5,4/13/20 9:27,1642
Housing Group 20_21 ,22,5,4/13/20 9:36,1680
selloutsforjesus ,22,5,4/13/20 9:45,1692
Put Us In Watt Please ,22,5,4/13/20 9:54,1693
lebrons group ,21.6666,6,4/13/20 10:03,1726
Asians ,21.6666,6,4/13/20 10:12,1752
JUNIORSYEAH ,21.25,8,4/13/20 10:21,1801
strawberrymilktea ,21.25,8,4/13/20 10:30,1860
ca$ino royale ,21,10,4/13/20 10:39,1924
Housing1 ,21,10,4/13/20 10:48,1934
Baseball 2020 ,21,10,4/13/20 10:57,1938
Maddie and Emily ,20,2,4/13/20 11:36,2003
Individual: mhb2177 ,20,1,4/13/20 11:45,2004
Individual: ipf2107 ,20,1,4/13/20 11:49,2005
KBCBSDMR ,20,4,4/13/20 11:53,2006
Queenies ,20,2,4/13/20 12:02,2007
Shapiro706 ,20,2,4/13/20 12:11,2008
Individual: jy2814 ,20,1,4/13/20 12:20,2010
Individual: gad2144 ,20,1,4/13/20 12:24,2017
Individual: md3713 ,20,1,4/13/20 12:28,2018
Individual: jio2108 ,20,1,4/13/20 12:32,2020
funhousing ,20,2,4/13/20 12:36,2023
ind_jan ,20,2,4/13/20 12:45,2027
Individual: jmc2375 ,20,1,4/13/20 12:54,2030
Individual: jw3731 ,20,1,4/13/20 12:58,2031
No KAP ,20,3,4/13/20 13:02,2032
Heckers ,20,3,4/13/20 13:11,2033
Individual: yc3209 ,20,1,4/13/20 13:20,2034
Individual: mmd2232 ,20,1,4/13/20 13:24,2035
FLAMMS ,20,6,4/13/20 13:28,2037
nextyearhousingms ,20,2,4/13/20 13:37,2038
Individual: sp3696 ,20,1,4/13/20 13:46,2040
Individual: rab2268 ,20,1,4/13/20 13:50,2043
minecraft gang ,20,3,4/13/20 13:54,2045
lifeoftheparty ,20,4,4/13/20 14:03,2047
Individual: ers2239 ,20,1,4/13/20 14:12,2052
Individual: jd3519 ,20,1,4/13/20 14:16,2054
Individual: skd2148 ,20,1,4/13/20 14:20,2056
Leeheath ,20,2,4/13/20 14:24,2059
Individual: pjc2182 ,20,1,4/13/20 14:33,2061
Individual: bs3248 ,20,1,4/13/20 14:37,2066
JJ8Lads ,20,8,4/13/20 14:41,2068
Individual: smp2230 ,20,1,4/13/20 14:50,2071
Individual: aso2126 ,20,1,4/13/20 14:54,2076
Elyas' Group ,20,9,4/13/20 14:58,2080
Sally&Mei ,20,2,4/13/20 15:07,2081
TrackJuniors ,20,8,4/13/20 15:16,2084
HavingATalkBeforeHand ,20,4,4/13/20 15:25,2085
clarem ,20,2,4/13/20 15:34,2087
PleaseBigSingles ,20,5,4/13/20 15:43,2088
Individual: vi2146 ,20,1,4/13/20 15:52,2089
Individual: mmz2122 ,20,1,4/13/20 15:56,2090
Em Patrick Ava ,20,5,4/13/20 16:00,2091
OF2020 ,20,6,4/13/20 16:09,2093
CUW S2022 ,20,7,4/13/20 16:18,2094
Individual: bg2647 ,20,1,4/13/20 16:27,2095
Individual: jg4055 ,20,1,4/14/20 9:00,2096
Individual: ark2198 ,20,1,4/14/20 9:04,2099
Individual: bbs2137 ,20,1,4/14/20 9:08,2101
Individual: alg2241 ,20,1,4/14/20 9:12,2107
Individual: jcd2219 ,20,1,4/14/20 9:16,2108
Individual: jml2361 ,20,1,4/14/20 9:20,2109
Individual: bv2269 ,20,1,4/14/20 9:24,2112
BEST! ,20,4,4/14/20 9:28,2113
Bankstreetboys ,20,2,4/14/20 9:37,2115
groupname ,20,4,4/14/20 9:46,2118
Framonki ,20,3,4/14/20 9:55,2119
Individual: aeb2270 ,20,1,4/14/20 10:04,2122
Individual: vat2123 ,20,1,4/14/20 10:08,2125
Individual: bn2303 ,20,1,4/14/20 10:12,2128
Individual: fa2506 ,20,1,4/14/20 10:16,2129
Khyber and Sid ,20,2,4/14/20 10:20,2135
Individual: lns2143 ,20,1,4/14/20 10:29,2136
goodNumberplz ,20,4,4/14/20 10:33,2137
Lions ,20,6,4/14/20 10:42,2138
Individual: ke2346 ,20,1,4/14/20 10:51,2141
JJ6+Leanne ,20,6,4/14/20 10:55,2144
CUW BB22 ,20,5,4/14/20 11:04,2145
Individual: cln2127 ,20,1,4/14/20 11:13,2148
Individual: fc2608 ,20,1,4/14/20 11:17,2157
jiaYOU ,20,4,4/14/20 11:21,2158
Winning Combo ,20,4,4/14/20 11:30,2159
T aiwan ,20,4,4/14/20 11:39,2165
lentil ,20,6,4/14/20 11:48,2168
Individual: mgv2119 ,20,1,4/14/20 11:57,2170
MCBAIN7PART2 ,20,8,4/14/20 12:01,2173
Negresses ,20,4,4/14/20 12:10,2180
Columbia Athletes 2022 ,20,4,4/14/20 12:19,2181
Destiny's Toes ,20,2,4/14/20 12:28,2182
Individual: WITHHELD ,20,1,4/14/20 12:37,2192
Individual: jon2106 ,20,1,4/14/20 12:41,2194
Individual: ew2629 ,20,1,4/14/20 12:45,2197
Ligma Nu ,20,8,4/14/20 12:49,2199
Individual: km3542 ,20,1,4/14/20 12:58,2200
Passion fruit Refresca ,20,2,4/14/20 13:02,2203
Individual: nmk2141 ,20,1,4/14/20 13:11,2205
Ja(i)ne ,20,2,4/14/20 13:15,2206
Individual: jis2151 ,20,1,4/14/20 13:24,2211
2022Savages ,20,5,4/14/20 13:28,2214
Sanders Sisters ,20,4,4/14/20 13:37,2215
Individual: rwt2116 ,20,1,4/14/20 13:46,2218
Individual: ib2416 ,20,1,4/14/20 13:50,2223
Individual: mrs2311 ,20,1,4/14/20 13:54,2224
Makialyssa ,20,3,4/14/20 13:58,2231
jeal! ,20,4,4/14/20 14:07,2232
Individual: fp2390 ,20,1,4/14/20 14:16,2233
SingleLadies ,20,2,4/14/20 14:20,2238
Individual: kcl2147 ,20,1,4/14/20 14:29,2241
Individual: ss5659 ,20,1,4/14/20 14:33,2244
Le Co-op ,20,10,4/14/20 14:37,2245
